,timestamp,frame,dotbot_x_mm,dotbot_y_mm,dotbot_z_mm,lh_x_mm,lh_y_mm,lh_z_mm,lh_roll_deg,lh_pitch_deg,lh_yaw_deg
68,2024-05-31T12:03:33.070000Z,712,470.33869,820.91717,1074.13354,427.45346,-648.81266,969.21756,-124.72987,-83.60194,-36.93211
69,2024-05-31T12:03:33.080000Z,713,476.01477,823.43826,1078.69174,427.42187,-648.88784,969.23294,-124.45856,-83.65553,-36.63739
70,2024-05-31T12:03:33.090000Z,714,481.83898,826.19607,1083.29912,427.4258,-648.85764,969.21696,-124.52469,-83.69005,-36.70422
71,2024-05-31T12:03:33.100000Z,715,487.71586,829.01789,1087.72589,427.48235,-648.85569,969.23588,-124.79332,-83.57325,-37.00395
72,2024-05-31T12:03:33.110000Z,716,493.65448,831.6633,1092.38861,427.46675,-648.83662,969.23871,-124.75526,-83.60748,-36.95864
73,2024-05-31T12:03:33.120000Z,717,499.73057,834.43517,1097.0108,427.39324,-648.85492,969.24296,-124.33928,-83.69437,-36.53151
74,2024-05-31T12:03:33.130000Z,718,505.83385,837.4493,1101.10734,427.38711,-648.89184,969.22298,-124.32001,-83.68906,-36.49121
75,2024-05-31T12:03:33.140000Z,719,512.01764,840.50348,1105.28425,427.41067,-648.8962,969.21603,-124.42563,-83.6418,-36.54714
76,2024-05-31T12:03:33.150000Z,720,518.28348,843.35333,1109.43269,427.41661,-648.87872,969.22559,-124.57603,-83.66549,-36.7494
77,2024-05-31T12:03:33.160000Z,721,524.54117,846.34529,1113.26895,427.40563,-648.86466,969.22348,-124.52917,-83.69175,-36.68214
78,2024-05-31T12:03:33.170000Z,722,530.92057,849.26145,1116.92685,427.4666,-648.82997,969.24353,-124.81255,-83.59353,-37.05738
79,2024-05-31T12:03:33.180000Z,723,537.40585,852.37888,1120.41228,427.39488,-648.79952,969.23275,-124.47827,-83.71075,-36.72308
80,2024-05-31T12:03:33.190000Z,724,543.94339,855.32576,1123.60816,427.42899,-648.88546,969.22855,-124.51594,-83.6408,-36.69993
81,2024-05-31T12:03:33.200000Z,725,550.61073,858.43825,1126.73567,427.42058,-648.83527,969.23222,-124.39895,-83.63153,-36.58384
82,2024-05-31T12:03:33.210000Z,726,557.20592,861.38588,1129.46509,427.49874,-648.83236,969.25453,-124.81056,-83.54327,-37.02472
83,2024-05-31T12:03:33.220000Z,727,563.90593,864.36434,1131.86971,427.32547,-648.86297,969.22926,-123.71358,-83.77699,-35.89007
84,2024-05-31T12:03:33.230000Z,728,570.7342,867.45927,1134.13077,427.43987,-648.87642,969.23452,-124.68384,-83.61908,-36.82675
85,2024-05-31T12:03:33.240000Z,729,577.58806,870.62529,1136.01956,427.42265,-648.86363,969.22292,-124.38893,-83.6237,-36.55113
86,2024-05-31T12:03:33.250000Z,730,584.61292,873.69443,1137.77904,427.37225,-648.84667,969.22754,-124.19352,-83.71571,-36.40289
87,2024-05-31T12:03:33.260000Z,731,591.62575,877.79662,1139.64107,427.40425,-648.87503,969.25104,-124.41319,-83.64165,-36.6086
88,2024-05-31T12:03:33.270000Z,732,598.75797,880.92967,1140.8603,427.39153,-648.82767,969.23013,-124.30204,-83.69057,-36.49954
89,2024-05-31T12:03:33.280000Z,733,606.09161,884.3243,1142.16707,427.35548,-648.87296,969.2341,-123.89188,-83.71292,-36.06115
90,2024-05-31T12:03:33.290000Z,734,613.46388,887.95986,1143.25972,427.38589,-648.89595,969.23794,-124.31602,-83.68882,-36.48827
91,2024-05-31T12:03:33.300000Z,735,620.82295,891.66814,1144.19718,427.37401,-648.82638,969.24136,-123.90043,-83.72147,-36.09759
